masked_user,source_ip,destination_ip,action,resource,protocol,access_result,location,device_type,login_attempt_count,log_hour,day_of_week,month,time_diff_prev,user_activity_frequency,unique_actions,source_subnet,dest_subnet,resource_category,access_flag,protocol_HTTP,protocol_HTTPS,protocol_FTP,protocol_SSH,protocol_RDP,device_desktop,device_mobile,device_tablet,location_count,session_duration,event_count_session,session_complexity
user_4237,172.16.197.206,172.16.188.194,access,/resource/50,HTTP,success,Tokyo,desktop,3,11,Saturday,12,2644,12,1,172.16,172.16,admin,1,1,0,0,0,0,1,0,0,67,2699,11,3
user_5377,172.16.160.102,172.16.159.9,access,/resource/72,HTTP,success,Sydney,tablet,6,17,Thursday,12,2756,9,4,172.16,172.16,admin,1,1,0,0,0,0,0,0,1,81,203,3,1
user_5115,172.16.158.173,172.16.156.171,logout,/resource/14,HTTP,success,New York,tablet,3,9,Sunday,8,1852,44,2,172.16,172.16,public,1,1,0,0,0,0,0,0,1,83,2031,5,4
user_5512,203.0.113.41,203.0.113.60,delete,/admin/secret,FTP,failure,Unknown,desktop,25,1,Friday,1,10,68,3,203.0,203.0,restricted,0,0,0,1,0,0,1,0,0,7,57,29,5
user_1700,172.16.73.118,172.16.47.121,upload,/resource/45,HTTP,failure,New York,tablet,9,16,Wednesday,9,881,6,3,172.16,172.16,private,0,1,0,0,0,0,0,0,1,79,3308,14,2
user_3832,203.0.113.144,203.0.113.62,modify,/admin/secret,FTP,failure,Unknown,desktop,24,2,Wednesday,12,3,100,4,203.0,203.0,restricted,0,0,0,1,0,0,1,0,0,1,54,12,6
user_7517,203.0.113.2,203.0.113.184,delete,/system/delete,FTP,failure,Syria,desktop,29,3,Tuesday,6,8,61,4,203.0,203.0,restricted,0,0,0,1,0,0,1,0,0,2,38,13,6
user_8851,172.16.108.7,172.16.49.63,login,/resource/76,SSH,failure,New York,tablet,6,18,Tuesday,2,1441,2,1,172.16,172.16,private,0,0,0,0,1,0,0,0,1,43,1289,7,8
user_6595,172.16.116.186,172.16.41.7,upload,/resource/95,HTTPS,success,Sydney,tablet,2,11,Monday,9,675,15,2,172.16,172.16,admin,1,0,1,0,0,0,0,0,1,65,2156,16,7
user_3633,203.0.113.51,203.0.113.227,access,/admin/secret,FTP,failure,Unknown,desktop,23,3,Monday,6,9,90,3,203.0,203.0,restricted,0,0,0,1,0,0,1,0,0,10,22,24,8
user_4131,172.16.128.172,172.16.98.132,upload,/resource/8,HTTPS,success,Sydney,mobile,7,14,Sunday,4,2535,48,2,172.16,172.16,public,1,0,1,0,0,0,0,1,0,58,2291,15,4
user_1458,203.0.113.94,203.0.113.222,modify,/admin/secret,FTP,failure,North Korea,desktop,43,3,Tuesday,3,5,74,3,203.0,203.0,restricted,0,0,0,1,0,0,1,0,0,4,24,29,5
user_4209,172.16.173.36,172.16.133.26,login,/resource/46,HTTP,failure,Berlin,desktop,2,18,Monday,9,2711,11,2,172.16,172.16,admin,0,1,0,0,0,0,1,0,0,46,1109,2,3
user_8649,172.16.163.47,172.16.155.248,logout,/resource/79,SSH,failure,London,desktop,2,12,Saturday,8,1791,23,2,172.16,172.16,admin,0,0,0,0,1,0,1,0,0,97,2802,13,7
user_2920,203.0.113.87,203.0.113.184,delete,/config/modify,FTP,failure,Syria,desktop,46,3,Friday,11,9,51,4,203.0,203.0,restricted,0,0,0,1,0,0,1,0,0,9,32,10,6
user_9367,172.16.245.172,172.16.99.74,login,/resource/9,HTTP,failure,São Paulo,desktop,1,10,Monday,9,721,6,3,172.16,172.16,private,0,1,0,0,0,0,1,0,0,38,3204,3,10
user_9788,172.16.186.82,172.16.70.67,access,/resource/100,HTTP,failure,New York,desktop,6,12,Sunday,6,1768,29,3,172.16,172.16,admin,0,1,0,0,0,0,1,0,0,48,2583,12,10
user_1753,172.16.140.179,172.16.99.36,upload,/resource/90,HTTPS,failure,São Paulo,tablet,10,17,Wednesday,12,2497,45,3,172.16,172.16,admin,0,0,1,0,0,0,0,0,1,47,3385,2,1
user_4909,172.16.188.8,172.16.188.216,access,/resource/6,HTTPS,success,Mumbai,desktop,2,18,Thursday,3,2563,8,4,172.16,172.16,private,1,0,1,0,0,0,1,0,0,25,3021,10,3
user_6550,203.0.113.208,203.0.113.92,delete,/config/modify,FTP,failure,Syria,desktop,26,3,Friday,3,1,68,3,203.0,203.0,restricted,0,0,0,1,0,0,1,0,0,4,48,16,5
user_3436,172.16.136.190,172.16.137.31,logout,/resource/85,SSH,failure,Tokyo,mobile,2,13,Sunday,3,108,19,3,172.16,172.16,admin,0,0,0,0,1,0,0,1,0,27,407,8,2
user_1765,172.16.237.77,172.16.181.115,upload,/resource/20,HTTP,success,São Paulo,tablet,3,16,Monday,8,555,22,1,172.16,172.16,public,1,1,0,0,0,0,0,0,1,62,2899,6,8
user_7672,203.0.113.14,203.0.113.160,access,/system/delete,FTP,failure,Unknown,desktop,24,2,Tuesday,4,4,97,3,203.0,203.0,restricted,0,0,0,1,0,0,1,0,0,9,46,13,7
user_8696,203.0.113.53,203.0.113.184,access,/system/delete,FTP,failure,Unknown,desktop,29,4,Wednesday,1,2,93,3,203.0,203.0,restricted,0,0,0,1,0,0,1,0,0,8,15,19,9
user_5312,203.0.113.170,203.0.113.104,download,/config/modify,FTP,failure,Unknown,desktop,34,4,Monday,11,3,48,4,203.0,203.0,restricted,0,0,0,1,0,0,1,0,0,8,16,11,7
user_8377,172.16.55.129,172.16.223.214,login,/resource/88,SSH,failure,São Paulo,desktop,7,10,Friday,12,211,30,2,172.16,172.16,admin,0,0,0,0,1,0,1,0,0,63,1060,17,4
user_4056,172.16.209.135,172.16.182.12,upload,/resource/14,HTTP,failure,Sydney,mobile,6,11,Friday,1,1389,25,1,172.16,172.16,private,0,1,0,0,0,0,0,1,0,64,2811,20,6
user_1566,172.16.75.77,172.16.11.60,logout,/resource/91,HTTPS,success,London,tablet,6,14,Wednesday,2,2273,44,2,172.16,172.16,private,1,0,1,0,0,0,0,0,1,96,918,19,6
user_7977,172.16.161.50,172.16.234.226,upload,/resource/91,SSH,failure,Berlin,desktop,9,10,Sunday,7,3486,35,4,172.16,172.16,public,0,0,0,0,1,0,1,0,0,56,3536,4,4
user_2622,172.16.240.11,172.16.22.135,logout,/resource/26,SSH,failure,Berlin,tablet,6,11,Friday,12,1734,33,3,172.16,172.16,admin,0,0,0,0,1,0,0,0,1,61,1713,9,8
user_3882,203.0.113.245,203.0.113.154,delete,/system/delete,FTP,failure,Syria,desktop,22,4,Wednesday,10,8,94,4,203.0,203.0,restricted,0,0,0,1,0,0,1,0,0,5,18,13,9
user_3857,172.16.203.165,172.16.206.205,access,/resource/66,HTTP,failure,São Paulo,mobile,1,13,Monday,5,79,1,1,172.16,172.16,public,0,1,0,0,0,0,0,1,0,87,1689,4,6
