masked_user,source_ip,destination_ip,action,resource,protocol,access_result,location,device_type,login_attempt_count,log_hour,day_of_week,month,time_diff_prev,user_activity_frequency,unique_actions,source_subnet,dest_subnet,resource_category,access_flag,protocol_HTTP,protocol_HTTPS,protocol_FTP,protocol_SSH,protocol_RDP,device_desktop,device_mobile,device_tablet,location_count,session_duration,event_count_session,session_complexity
-1,-1,-1,0,70,0,1,4,2,6,17,4,3,2756,9,4,0,0,0,1,1,0,0,0,0,0,0,1,81,203,3,1
1228,-1,-1,2,6,0,1,3,2,3,9,3,10,1852,44,2,0,0,2,1,1,0,0,0,0,0,0,1,83,2031,5,4
-1,-1,-1,-1,-1,-1,0,-1,0,25,1,0,0,10,68,3,-1,-1,-1,0,0,0,1,0,0,1,0,0,7,57,29,5
-1,2718,-1,3,40,0,0,3,2,9,16,6,11,881,6,3,0,0,1,0,1,0,0,0,0,0,0,1,79,3308,14,2
839,-1,-1,-1,-1,-1,0,-1,0,24,2,6,3,3,100,4,-1,-1,-1,0,0,0,1,0,0,1,0,0,1,54,12,6
1895,-1,-1,-1,-1,-1,0,-1,0,29,3,5,8,8,61,4,-1,-1,-1,0,0,0,1,0,0,1,0,0,2,38,13,6
2296,136,-1,1,74,2,0,3,2,6,18,5,4,1441,2,1,0,0,1,0,0,0,0,1,0,0,0,1,43,1289,7,8
1635,-1,-1,3,95,1,1,4,2,2,11,1,11,675,15,2,0,0,0,1,0,1,0,0,0,0,0,1,65,2156,16,7
-1,-1,-1,0,-1,-1,0,-1,0,23,3,1,8,9,90,3,-1,-1,-1,0,0,0,1,0,0,1,0,0,10,22,24,8
935,-1,-1,3,78,1,1,4,1,7,14,3,6,2535,48,2,0,0,2,1,0,1,0,0,0,0,1,0,58,2291,15,4
-1,-1,-1,-1,-1,-1,0,-1,0,43,3,5,5,5,74,3,-1,-1,-1,0,0,0,1,0,0,1,0,0,4,24,29,5
-1,-1,-1,1,41,0,0,0,0,2,18,1,11,2711,11,2,0,0,0,0,1,0,0,0,0,1,0,0,46,1109,2,3
-1,-1,-1,2,77,2,0,1,0,2,12,2,10,1791,23,2,0,0,0,0,0,0,0,1,0,1,0,0,97,2802,13,7
-1,-1,-1,-1,-1,-1,0,-1,0,46,3,0,2,9,51,4,-1,-1,-1,0,0,0,1,0,0,1,0,0,9,32,10,6
-1,-1,-1,1,89,0,0,5,0,1,10,1,11,721,6,3,0,0,1,0,1,0,0,0,0,1,0,0,38,3204,3,10
