masked_user,source_ip,destination_ip,action,resource,protocol,access_result,location,device_type,login_attempt_count,log_hour,day_of_week,month,time_diff_prev,user_activity_frequency,unique_actions,source_subnet,dest_subnet,resource_category,access_flag,protocol_HTTP,protocol_HTTPS,protocol_FTP,protocol_SSH,protocol_RDP,device_desktop,device_mobile,device_tablet,location_count,session_duration,event_count_session,session_complexity
user_8820,172.16.66.72,172.16.225.222,access,/resource/17,HTTP,failure,Tokyo,mobile,1,13,Sunday,2,674,13,3,172.16,172.16,public,0,1,0,0,0,0,0,1,0,80,2937,11,9
user_4857,172.16.247.55,172.16.214.55,upload,/resource/18,HTTPS,failure,London,desktop,10,13,Monday,12,1386,15,2,172.16,172.16,private,0,0,1,0,0,0,1,0,0,22,1446,18,3
user_8059,172.16.85.121,172.16.157.140,login,/resource/84,HTTPS,success,Tokyo,desktop,7,11,Monday,6,842,46,4,172.16,172.16,public,1,0,1,0,0,0,1,0,0,90,3340,10,3
user_2261,172.16.180.3,172.16.83.166,login,/resource/27,HTTP,success,Tokyo,desktop,1,15,Sunday,1,1598,36,4,172.16,172.16,public,1,1,0,0,0,0,1,0,0,40,818,8,2
user_7313,172.16.64.238,172.16.5.88,upload,/resource/76,HTTPS,failure,Berlin,desktop,2,10,Friday,9,3149,43,1,172.16,172.16,admin,0,0,1,0,0,0,1,0,0,98,3452,20,4
user_3475,172.16.108.182,172.16.240.139,access,/resource/95,HTTP,failure,Tokyo,desktop,9,15,Wednesday,11,889,19,4,172.16,172.16,private,0,1,0,0,0,0,1,0,0,67,1415,5,3
user_8979,172.16.91.165,172.16.173.10,login,/resource/2,HTTP,success,São Paulo,tablet,7,9,Tuesday,5,765,23,1,172.16,172.16,private,1,1,0,0,0,0,0,0,1,31,327,19,8
user_4228,172.16.234.18,172.16.101.250,login,/resource/62,HTTPS,success,Sydney,tablet,9,13,Monday,5,1236,13,1,172.16,172.16,public,1,0,1,0,0,0,0,0,1,46,2093,9,6
user_2370,172.16.111.170,172.16.101.254,logout,/resource/28,HTTPS,success,Tokyo,mobile,2,15,Friday,11,2665,15,1,172.16,172.16,public,1,0,1,0,0,0,0,1,0,85,1116,11,9
user_3179,172.16.119.82,172.16.55.105,login,/resource/96,HTTPS,failure,New York,mobile,10,11,Friday,12,2561,38,3,172.16,172.16,private,0,0,1,0,0,0,0,1,0,64,735,19,4
user_9391,172.16.155.22,172.16.197.91,upload,/resource/76,HTTPS,success,London,mobile,5,11,Sunday,4,1677,43,2,172.16,172.16,private,1,0,1,0,0,0,0,1,0,41,2943,10,2
user_4358,172.16.105.240,172.16.211.212,access,/resource/35,HTTPS,failure,Mumbai,mobile,9,11,Thursday,10,816,3,3,172.16,172.16,public,0,0,1,0,0,0,0,1,0,61,1355,18,10
user_4835,172.16.185.43,172.16.53.100,logout,/resource/1,HTTPS,success,Mumbai,desktop,3,18,Sunday,3,2896,20,4,172.16,172.16,private,1,0,1,0,0,0,1,0,0,30,488,6,7
user_7672,172.16.232.17,172.16.22.140,logout,/resource/57,HTTPS,failure,London,mobile,9,17,Tuesday,11,193,27,1,172.16,172.16,public,0,0,1,0,0,0,0,1,0,36,1201,3,7
user_9192,172.16.83.209,172.16.154.38,login,/resource/72,HTTP,failure,Sydney,mobile,4,12,Tuesday,12,2897,40,2,172.16,172.16,private,0,1,0,0,0,0,0,1,0,92,226,5,5
user_6076,172.16.141.129,172.16.31.139,login,/resource/89,HTTPS,failure,Mumbai,desktop,5,18,Sunday,1,689,11,4,172.16,172.16,public,0,0,1,0,0,0,1,0,0,29,2220,6,3
user_7117,172.16.188.201,172.16.109.165,login,/resource/32,SSH,success,London,desktop,2,13,Saturday,9,2869,18,4,172.16,172.16,private,1,0,0,0,1,0,1,0,0,20,2548,2,1
user_4774,172.16.245.186,172.16.199.192,access,/resource/30,HTTP,success,New York,desktop,5,10,Tuesday,10,641,30,4,172.16,172.16,admin,1,1,0,0,0,0,1,0,0,29,829,3,7
user_7365,172.16.249.233,172.16.150.57,logout,/resource/44,HTTP,success,Berlin,desktop,6,10,Monday,7,939,16,4,172.16,172.16,private,1,1,0,0,0,0,1,0,0,60,547,16,2
user_5095,172.16.59.59,172.16.177.168,logout,/resource/15,SSH,failure,Berlin,desktop,6,13,Sunday,10,2075,17,4,172.16,172.16,public,0,0,0,0,1,0,1,0,0,36,441,18,6
user_2009,172.16.237.152,172.16.93.99,logout,/resource/76,HTTPS,failure,São Paulo,desktop,8,16,Saturday,1,2325,25,1,172.16,172.16,private,0,0,1,0,0,0,1,0,0,48,1116,3,2
user_7093,172.16.178.41,172.16.172.116,upload,/resource/58,HTTP,failure,Mumbai,desktop,7,14,Thursday,6,400,34,3,172.16,172.16,admin,0,1,0,0,0,0,1,0,0,69,1636,19,6
user_1990,172.16.46.95,172.16.185.82,login,/resource/17,HTTP,success,São Paulo,tablet,8,11,Monday,1,2013,22,3,172.16,172.16,private,1,1,0,0,0,0,0,0,1,67,687,1,3
user_9103,172.16.165.95,172.16.64.218,login,/resource/26,HTTPS,success,Mumbai,tablet,8,10,Saturday,6,2835,39,1,172.16,172.16,admin,1,0,1,0,0,0,0,0,1,35,1465,16,10
user_7636,172.16.89.90,172.16.211.224,upload,/resource/39,HTTP,success,New York,tablet,3,16,Monday,4,2702,32,4,172.16,172.16,public,1,1,0,0,0,0,0,0,1,71,593,19,8
user_5880,172.16.203.140,172.16.193.84,logout,/resource/95,HTTP,success,São Paulo,desktop,7,16,Sunday,9,577,40,4,172.16,172.16,admin,1,1,0,0,0,0,1,0,0,87,2128,15,1
user_9993,172.16.125.145,172.16.145.35,logout,/resource/21,SSH,failure,Tokyo,mobile,8,10,Tuesday,3,2157,9,1,172.16,172.16,public,0,0,0,0,1,0,0,1,0,65,2305,2,4
user_3153,172.16.3.235,172.16.201.204,login,/resource/85,HTTPS,failure,São Paulo,mobile,2,15,Tuesday,12,2061,33,3,172.16,172.16,admin,0,0,1,0,0,0,0,1,0,65,3066,14,9
user_9846,172.16.248.70,172.16.181.166,logout,/resource/66,SSH,success,Sydney,desktop,1,16,Monday,2,2681,49,1,172.16,172.16,public,1,0,0,0,1,0,1,0,0,66,3423,5,4
