masked_user,source_ip,destination_ip,action,resource,protocol,access_result,location,device_type,login_attempt_count,log_hour,day_of_week,month,time_diff_prev,user_activity_frequency,unique_actions,source_subnet,dest_subnet,resource_category,access_flag,protocol_HTTP,protocol_HTTPS,protocol_FTP,protocol_SSH,protocol_RDP,device_desktop,device_mobile,device_tablet,location_count,session_duration,event_count_session,session_complexity
2290,2636,1716,0,9,0,0,6,1,1,13,3,4,674,13,3,0,0,2,0,1,0,0,0,0,0,1,0,80,2937,11,9
1146,1968,1578,3,10,1,0,1,0,10,13,1,3,1386,15,2,0,0,1,0,0,1,0,0,0,1,0,0,22,1446,18,3
2064,2872,802,1,83,1,1,6,0,7,11,1,8,842,46,4,0,0,2,1,0,1,0,0,0,1,0,0,90,3340,10,3
366,1089,2875,1,20,0,1,6,0,1,15,3,0,1598,36,4,0,0,2,1,1,0,0,0,0,1,0,0,40,818,8,2
1836,2607,2485,3,74,1,0,0,0,2,10,0,11,3149,43,1,0,0,0,0,0,1,0,0,0,1,0,0,98,3452,20,4
732,130,1921,0,95,0,0,6,0,9,15,6,2,889,19,4,0,0,1,0,1,0,0,0,0,1,0,0,67,1415,5,3
2333,2961,1002,1,12,0,1,5,2,7,9,5,7,765,23,1,0,0,1,1,1,0,0,0,0,0,0,1,31,327,19,8
963,1798,40,1,59,1,1,4,2,9,13,1,7,1236,13,1,0,0,2,1,0,1,0,0,0,0,0,1,46,2093,9,6
392,177,41,2,21,1,1,6,1,2,15,0,2,2665,15,1,0,0,2,1,0,1,0,0,0,0,1,0,85,1116,11,9
657,274,2534,1,96,1,0,3,1,10,11,0,3,2561,38,3,0,0,1,0,0,1,0,0,0,0,1,0,64,735,19,4
2458,724,1333,3,74,1,1,1,1,5,11,3,6,1677,43,2,0,0,1,1,0,1,0,0,0,0,1,0,41,2943,10,2
999,99,1536,0,29,1,0,2,1,9,11,4,1,816,3,3,0,0,2,0,0,1,0,0,0,0,1,0,61,1355,18,10
1138,1152,2516,2,0,1,1,2,0,3,18,3,5,2896,20,4,0,0,1,1,0,1,0,0,0,1,0,0,30,488,6,7
1941,1772,1645,2,53,1,0,1,1,9,17,5,2,193,27,1,0,0,2,0,0,1,0,0,0,0,1,0,36,1201,3,7
2397,2851,780,1,70,0,0,4,1,4,12,5,3,2897,40,2,0,0,1,0,1,0,0,0,0,0,1,0,92,226,5,5
1503,567,2214,1,88,1,0,2,0,5,18,3,0,689,11,4,0,0,2,0,0,1,0,0,0,1,0,0,29,2220,6,3
1779,1179,144,1,26,2,1,1,0,2,13,2,11,2869,18,4,0,0,1,1,0,0,0,1,0,1,0,0,20,2548,2,1
1118,1942,1347,0,24,0,1,3,0,5,10,5,1,641,30,4,0,0,0,1,1,0,0,0,0,1,0,0,29,829,3,7
1855,1992,740,2,39,0,1,0,0,6,10,1,9,939,16,4,0,0,1,1,1,0,0,0,0,1,0,0,60,547,16,2
1216,2541,1053,2,7,2,0,0,0,6,13,3,1,2075,17,4,0,0,2,0,0,0,0,1,0,1,0,0,36,441,18,6
289,1832,3014,2,74,1,0,5,0,8,16,2,0,2325,25,1,0,0,1,0,0,1,0,0,0,1,0,0,48,1116,3,2
1773,1056,990,3,54,0,0,2,0,7,14,4,8,400,34,3,0,0,0,0,1,0,0,0,0,1,0,0,69,1636,19,6
283,2377,1184,1,9,0,1,5,2,8,11,1,0,2013,22,3,0,0,1,1,1,0,0,0,0,0,0,1,67,687,1,3
2369,878,2644,1,19,1,1,2,2,8,10,2,8,2835,39,1,0,0,0,1,0,1,0,0,0,0,0,1,35,1465,16,10
1929,2938,1538,3,33,0,1,3,2,3,16,1,6,2702,32,4,0,0,2,1,1,0,0,0,0,0,0,1,71,593,19,8
1444,1374,1282,2,95,0,1,5,0,7,16,3,11,577,40,4,0,0,0,1,1,0,0,0,0,1,0,0,87,2128,15,1
2647,349,659,2,14,2,0,6,1,8,10,5,5,2157,9,1,0,0,2,0,0,0,0,1,0,0,1,0,65,2305,2,4
647,2142,1391,1,84,1,0,5,1,2,15,5,3,2061,33,3,0,0,0,0,0,1,0,0,0,0,1,0,65,3066,14,9
2599,1981,1123,2,63,2,1,4,0,1,16,1,4,2681,49,1,0,0,2,1,0,0,0,1,0,1,0,0,66,3423,5,4
52,1280,466,1,78,2,1,0,2,5,18,2,8,2122,23,2,0,0,0,1,0,0,0,1,0,0,0,1,32,773,10,7
959,2891,585,1,28,0,0,3,0,7,9,2,11,746,16,2,0,0,0,0,1,0,0,0,0,1,0,0,56,2351,11,8
957,1771,1401,3,17,1,0,1,0,1,16,0,4,606,10,2,0,0,2,0,0,1,0,0,0,1,0,0,31,262,17,6
